order_number,order_time,product_code,store_number,quantity_ordered,price,discount,margin,status,fulfillment_time,returned,payment_type
1086,2018-10-15 10:08:47.646987,QWE,177,1,42.42,0.0,-0.09,SHIPPED,50,false,CASH
1087,2018-10-15 11:12:47.646987,QWE,177,2,28.99,0.0,0.7,SHIPPED,54,false,CASH
1088,2018-10-15 17:00:47.646987,LAM,412,4,99.99,0.0,0.8,SHIPPED,40,false,CASH
1089,2018-10-15 17:10:47.646987,DAS,177,7,99.99,0.0,0.23,SHIPPED,49,false,CASH
1090,2018-10-16 00:22:47.646987,DAS,158,5,28.99,0.0,0.51,SHIPPED,61,false,CASH
1091,2018-10-16 03:08:47.646987,PXC,163,1,11.5,0.0,-0.01,SHIPPED,41,false,CASH
1092,2018-10-16 06:45:47.646987,QRT,412,1,4.99,0.0,0.5,SHIPPED,46,false,CASH
1093,2018-10-16 08:05:47.646987,QWE,158,3,8.49,0.0,-0.04,SHIPPED,48,false,CASH
1094,2018-10-16 14:25:47.646987,BGT,163,6,4.99,0.0,-0.06,SHIPPED,49,false,CASH
1095,2018-10-16 21:58:47.646987,HRE,177,1,28.99,0.0,0.16,SHIPPED,58,false,CASH
1096,2018-10-17 02:22:47.646987,DAS,158,5,4.99,0.0,0.3,SHIPPED,44,false,CASH
1097,2018-10-17 06:18:47.646987,QRT,412,1,4.99,0.0,0.08,SHIPPED,53,true,CASH
1098,2018-10-17 08:19:47.646987,QWE,177,4,1.75,0.0,-0.02,SHIPPED,45,false,CREDIT
1099,2018-10-17 11:22:47.646987,DAS,191,7,99.99,0.0,0.8,SHIPPED,60,false,CASH
1100,2018-10-17 17:45:47.646987,PXC,191,6,11.5,0.0,0.63,SHIPPED,43,false,CASH
1101,2018-10-17 21:40:47.646987,DAS,163,5,4.99,0.0,0.56,SHIPPED,49,false,CASH
1102,2018-10-17 22:23:47.646987,HRE,191,6,42.42,0.0,0.68,SHIPPED,44,false,CASH
1103,2018-10-18 04:28:47.646987,DAS,182,4,4.99,0.0,0.58,SHIPPED,58,false,CASH
1104,2018-10-18 11:15:47.646987,PXC,182,5,1.75,0.0,0.36,SHIPPED,61,false,CASH
1105,2018-10-18 17:22:47.646987,DAS,158,3,1.75,0.2,0.43,SHIPPED,56,false,CREDIT
1106,2018-10-18 19:37:47.646987,PXC,412,5,99.99,0.0,0.6,SHIPPED,42,false,CASH
1107,2018-10-19 03:24:47.646987,BGT,163,5,1.75,0.0,0.43,SHIPPED,50,true,INVOICE
1108,2018-10-19 03:29:47.646987,DAS,182,1,4.99,0.0,0.6,SHIPPED,51,false,CREDIT
1109,2018-10-19 05:14:47.646987,QRT,163,7,11.5,0.0,0.2,SHIPPED,47,false,CASH
1110,2018-10-19 13:09:47.646987,QRT,158,7,1.75,0.0,0.19,SHIPPED,47,false,CASH
1111,2018-10-19 20:38:47.646987,LAM,177,3,42.42,0.0,0.24,SHIPPED,47,false,CASH
1112,2018-10-19 22:11:47.646987,QWE,412,5,1.75,0.0,-0.02,SHIPPED,32,false,CASH
1113,2018-10-20 02:01:47.646987,HRE,163,5,4.99,0.0,0.03,SHIPPED,39,false,CASH
1114,2018-10-20 05:17:47.646987,DAS,158,4,42.42,0.0,0.68,SHIPPED,44,false,CASH
1115,2018-10-20 13:05:47.646987,BGT,177,5,11.5,0.0,0.46,SHIPPED,51,false,CASH
1116,2018-10-20 18:56:47.646987,DAS,177,3,42.42,0.0,0.31,SHIPPED,46,false,CASH
1117,2018-10-20 20:52:47.646987,PXC,177,6,42.42,0.0,-0.09,SHIPPED,45,false,CASH
1118,2018-10-21 02:22:47.646987,PXC,412,7,8.49,0.0,0.37,SHIPPED,42,false,CREDIT
1119,2018-10-21 05:50:47.646987,PXC,412,7,11.5,0.0,0.31,SHIPPED,49,false,CASH
1120,2018-10-21 09:54:47.646987,HRE,163,4,8.49,0.0,0.63,SHIPPED,36,false,CASH
1121,2018-10-21 13:27:47.646987,DAS,158,7,42.42,0.0,0.59,SHIPPED,47,false,CASH
1122,2018-10-21 14:37:47.646987,PXC,158,3,99.99,0.0,-0.07,SHIPPED,47,false,CASH
1123,2018-10-21 19:50:47.646987,DAS,191,6,8.49,0.1,0.41,PROCESSING,31,false,CASH
1124,2018-10-21 22:58:47.646987,DAS,182,3,28.99,0.0,0.53,SHIPPED,52,false,CASH
1125,2018-10-22 04:33:47.646987,PXC,177,5,28.99,0.0,0.79,SHIPPED,48,false,CASH
1126,2018-10-22 09:42:47.646987,LAM,182,5,99.99,0.0,0.68,SHIPPED,56,false,CASH
1127,2018-10-22 15:00:47.646987,HRE,163,7,28.99,0.0,0.63,SHIPPED,51,false,CASH
1128,2018-10-22 17:45:47.646987,QRT,412,3,28.99,0.0,0.37,SHIPPED,42,false,CASH
1129,2018-10-22 23:15:47.646987,QWE,158,4,28.99,0.0,0.59,SHIPPED,54,false,CASH
1130,2018-10-23 05:36:47.646987,HRE,163,4,99.99,0.0,0.42,SHIPPED,46,false,CASH
1131,2018-10-23 11:06:47.646987,PXC,177,7,4.99,0.0,0.35,SHIPPED,53,false,CASH
1132,2018-10-23 11:26:47.646987,QRT,182,2,1.75,0.0,0.08,SHIPPED,54,false,CASH
1133,2018-10-23 18:34:47.646987,QWE,412,1,1.75,0.0,-0.09,SHIPPED,59,false,CASH
1134,2018-10-24 02:13:47.646987,HRE,182,6,11.5,0.0,0.33,SHIPPED,28,false,CASH
1135,2018-10-24 09:37:47.646987,LAM,177,7,28.99,0.0,-0.01,SHIPPED,40,false,CASH
1136,2018-10-24 14:53:47.646987,BGT,158,3,4.99,0.0,0.4,SHIPPED,39,false,CASH
1137,2018-10-24 18:20:47.646987,QWE,412,5,42.42,0.0,0.5,SHIPPED,65,false,CASH
1138,2018-10-24 23:56:47.646987,QRT,158,3,42.42,0.0,0.04,SHIPPED,32,false,CASH
1139,2018-10-25 04:03:47.646987,PXC,182,1,99.99,0.0,0.11,SHIPPED,48,false,CASH
1140,2018-10-25 07:40:47.646987,BGT,177,7,1.75,0.0,0.3,SHIPPED,48,false,CASH
1141,2018-10-25 11:12:47.646987,DAS,158,1,28.99,0.0,-0.08,SHIPPED,42,false,CREDIT
1142,2018-10-25 12:14:47.646987,PXC,191,7,8.49,0.0,0.55,SHIPPED,53,false,CASH
1143,2018-10-25 19:26:47.646987,LAM,191,4,42.42,0.0,-0.08,SHIPPED,54,false,CASH
1144,2018-10-25 22:31:47.646987,QRT,412,2,28.99,0.0,0.61,PROCESSING,51,false,CASH
1145,2018-10-26 02:11:47.646987,BGT,177,4,11.5,0.0,0.16,SHIPPED,55,false,CASH
1146,2018-10-26 04:53:47.646987,QRT,163,6,42.42,0.0,0.33,SHIPPED,36,false,CASH
1147,2018-10-26 10:39:47.646987,LAM,191,4,99.99,0.0,0.02,SHIPPED,44,false,CREDIT
1148,2018-10-26 14:52:47.646987,HRE,412,5,99.99,0.0,0.58,SHIPPED,53,true,CASH
1149,2018-10-26 19:02:47.646987,HRE,412,6,1.75,0.1,-0.04,SHIPPED,43,false,CASH
1150,2018-10-27 01:11:47.646987,BGT,182,3,11.5,0.0,0.66,SHIPPED,63,true,CASH
1151,2018-10-27 07:46:47.646987,QRT,182,7,42.42,0.0,0.78,SHIPPED,51,false,CASH
1152,2018-10-27 11:34:47.646987,HRE,177,1,11.5,0.0,-0.08,SHIPPED,50,false,CASH
1153,2018-10-27 17:27:47.646987,PXC,177,5,8.49,0.0,-0.04,SHIPPED,55,false,CASH
1154,2018-10-27 22:48:47.646987,QRT,163,1,99.99,0.0,0.06,SHIPPED,58,false,CASH
1155,2018-10-28 02:44:47.646987,BGT,191,7,42.42,0.0,-0.08,SHIPPED,51,false,CASH
1156,2018-10-28 03:57:47.646987,QRT,412,2,99.99,0.0,0.24,SHIPPED,38,false,CASH
1157,2018-10-28 07:22:47.646987,PXC,182,6,4.99,0.0,0.19,SHIPPED,40,false,CASH
1158,2018-10-28 15:02:47.646987,QWE,177,1,1.75,0.0,0.1,SHIPPED,47,false,CASH
1159,2018-10-28 20:41:47.646987,DAS,177,7,11.5,0.0,0.76,SHIPPED,37,false,CASH
1160,2018-10-29 00:20:47.646987,PXC,158,1,99.99,0.0,0.52,SHIPPED,57,false,CASH
1161,2018-10-29 03:06:47.646987,LAM,163,1,11.5,0.0,-0.03,SHIPPED,48,false,CASH
1162,2018-10-29 11:01:47.646987,DAS,177,7,99.99,0.15,0.61,SHIPPED,35,false,CASH
1163,2018-10-29 18:09:47.646987,QWE,177,4,42.42,0.0,0.17,SHIPPED,51,false,CASH
1164,2018-10-30 00:36:47.646987,LAM,191,3,99.99,0.0,0.24,SHIPPED,58,false,CASH
1165,2018-10-30 01:38:47.646987,QRT,177,1,4.99,0.0,0.03,SHIPPED,56,false,CASH
1166,2018-10-30 03:21:47.646987,DAS,177,1,99.99,0.0,0.41,SHIPPED,48,false,CASH
1167,2018-10-30 08:35:47.646987,QWE,182,7,99.99,0.0,0.75,SHIPPED,54,false,CASH
1168,2018-10-30 09:33:47.646987,HRE,412,6,1.75,0.0,0.18,SHIPPED,51,false,CASH
1169,2018-10-30 11:35:47.646987,PXC,412,1,4.99,0.15,0.69,SHIPPED,39,false,CASH
1170,2018-10-30 19:11:47.646987,PXC,191,3,28.99,0.0,-0.02,SHIPPED,39,false,CASH
1171,2018-10-30 21:51:47.646987,LAM,177,2,8.49,0.0,0.34,SHIPPED,50,false,CASH
1172,2018-10-30 23:53:47.646987,HRE,182,4,1.75,0.0,0.1,SHIPPED,36,false,CASH
1173,2018-10-31 07:51:47.646987,BGT,177,3,4.99,0.0,0.37,SHIPPED,34,false,CASH
1174,2018-10-31 15:05:47.646987,HRE,163,7,1.75,0.0,0.72,SHIPPED,41,false,CASH
1175,2018-10-31 21:13:47.646987,DAS,182,6,28.99,0.0,0.5,SHIPPED,52,false,CREDIT
1176,2018-10-31 22:07:47.646987,QRT,158,2,28.99,0.0,0.38,SHIPPED,46,false,CASH
1177,2018-11-01 01:56:47.646987,QWE,412,6,28.99,0.0,0.41,SHIPPED,50,false,CASH
1178,2018-11-01 07:33:47.646987,QWE,182,5,11.5,0.0,0.81,SHIPPED,45,false,CASH
1179,2018-11-01 08:17:47.646987,LAM,182,3,4.99,0.0,0.36,SHIPPED,58,false,CASH
1180,2018-11-01 15:35:47.646987,HRE,163,1,1.75,0.0,0.66,SHIPPED,41,false,CASH
1181,2018-11-01 23:17:47.646987,DAS,158,1,8.49,0.0,-0.09,SHIPPED,46,false,CASH
1182,2018-11-02 05:32:47.646987,DAS,182,2,42.42,0.0,0.03,SHIPPED,39,false,CASH
1183,2018-11-02 09:16:47.646987,QWE,163,3,28.99,0.1,0.14,SHIPPED,41,false,CASH
1184,2018-11-02 13:58:47.646987,BGT,412,4,11.5,0.0,0.39,SHIPPED,43,false,INVOICE
1185,2018-11-02 17:22:47.646987,DAS,412,1,11.5,0.0,0.8,SHIPPED,53,false,CASH
1186,2018-11-02 19:15:47.646987,BGT,191,2,28.99,0.0,-0.07,SHIPPED,46,false,CASH
1187,2018-11-02 22:52:47.646987,LAM,191,5,28.99,0.0,0.62,SHIPPED,58,false,CASH
1188,2018-11-02 23:49:47.646987,LAM,182,4,42.42,0.0,-0.05,SHIPPED,36,false,CASH
1189,2018-11-02 23:59:47.646987,QWE,177,6,28.99,0.0,0.46,SHIPPED,54,false,CASH
1190,2018-11-03 04:09:47.646987,DAS,182,2,42.42,0.0,0.29,SHIPPED,42,false,CASH
1191,2018-11-03 11:17:47.646987,DAS,182,7,11.5,0.0,0.07,SHIPPED,55,false,CASH
1192,2018-11-03 15:40:47.646987,BGT,191,2,99.99,0.0,0.62,SHIPPED,41,false,CASH
1193,2018-11-03 22:46:47.646987,QRT,158,5,11.5,0.0,0.03,SHIPPED,49,false,CASH
1194,2018-11-03 23:48:47.646987,HRE,177,7,4.99,0.0,0.03,SHIPPED,41,false,CASH
1195,2018-11-04 00:02:47.646987,QRT,177,4,4.99,0.0,0.23,SHIPPED,24,false,CREDIT
1196,2018-11-04 01:19:47.646987,BGT,191,7,28.99,0.0,0.03,SHIPPED,55,false,CASH
1197,2018-11-04 02:30:47.646987,LAM,163,1,42.42,0.0,-0.01,SHIPPED,56,false,CASH
1198,2018-11-04 06:08:47.646987,HRE,182,2,99.99,0.0,0.17,SHIPPED,45,false,CASH
1199,2018-11-04 08:25:47.646987,QRT,182,1,99.99,0.0,-0.03,SHIPPED,57,false,CASH
1200,2018-11-04 09:06:47.646987,HRE,163,1,11.5,0.0,0.62,SHIPPED,46,false,INVOICE
1201,2018-11-04 10:30:47.646987,QWE,191,6,99.99,0.0,0.36,SHIPPED,61,false,INVOICE
1202,2018-11-04 13:11:47.646987,DAS,177,4,4.99,0.0,-0.02,SHIPPED,41,false,CASH
1203,2018-11-04 16:36:47.646987,DAS,163,7,11.5,0.0,-0.04,SHIPPED,67,false,CASH
1204,2018-11-04 23:25:47.646987,DAS,191,4,11.5,0.0,0.5,SHIPPED,27,false,CREDIT
1205,2018-11-05 04:32:47.646987,QRT,158,2,11.5,0.0,0.41,SHIPPED,35,false,CREDIT
1206,2018-11-05 08:41:47.646987,BGT,182,2,1.75,0.2,0.68,SHIPPED,50,false,CASH
1207,2018-11-05 16:02:47.646987,HRE,158,7,28.99,0.0,0.14,SHIPPED,59,false,CREDIT
1208,2018-11-05 20:14:47.646987,BGT,177,3,8.49,0.0,0.32,SHIPPED,51,false,CASH
1209,2018-11-06 03:30:47.646987,PXC,412,6,28.99,0.1,0.2,SHIPPED,52,false,CASH
1210,2018-11-06 06:01:47.646987,QWE,163,6,1.75,0.0,0.42,SHIPPED,46,false,CASH
1211,2018-11-06 10:39:47.646987,QRT,163,3,28.99,0.0,0.05,SHIPPED,43,false,CASH
1212,2018-11-06 13:25:47.646987,DAS,412,2,28.99,0.0,0.59,SHIPPED,42,false,CASH
1213,2018-11-06 20:04:47.646987,BGT,191,6,28.99,0.0,0.1,SHIPPED,38,false,CASH
1214,2018-11-07 01:01:47.646987,HRE,158,3,11.5,0.0,-0.05,SHIPPED,42,false,CASH
1215,2018-11-07 04:36:47.646987,QWE,177,5,8.49,0.0,0.68,SHIPPED,55,false,CASH
1216,2018-11-07 11:02:47.646987,BGT,163,1,28.99,0.0,0.73,SHIPPED,49,false,CASH
1217,2018-11-07 18:30:47.646987,LAM,158,1,28.99,0.0,0.79,SHIPPED,45,false,CASH
1218,2018-11-08 02:15:47.646987,QWE,177,4,8.49,0.15,0.77,SHIPPED,44,false,CASH
1219,2018-11-08 02:54:47.646987,QRT,158,5,11.5,0.0,-0.07,SHIPPED,50,false,CASH
1220,2018-11-08 08:03:47.646987,DAS,158,5,42.42,0.0,0.02,SHIPPED,55,false,INVOICE
1221,2018-11-08 10:59:47.646987,LAM,158,5,11.5,0.0,0.63,SHIPPED,26,false,CASH
1222,2018-11-08 11:10:47.646987,QRT,412,4,99.99,0.0,0.1,SHIPPED,44,false,CASH
1223,2018-11-08 15:38:47.646987,QWE,158,2,8.49,0.0,0.36,SHIPPED,48,false,CASH
1224,2018-11-08 22:01:47.646987,BGT,182,5,4.99,0.0,0.35,SHIPPED,50,false,CASH
1225,2018-11-09 05:57:47.646987,QRT,412,5,99.99,0.0,-0.06,SHIPPED,54,false,CASH
1226,2018-11-09 12:40:47.646987,LAM,182,2,28.99,0.0,0.09,SHIPPED,56,false,CASH
1227,2018-11-09 12:41:47.646987,LAM,412,5,42.42,0.0,0.68,SHIPPED,46,false,CASH
1228,2018-11-09 17:16:47.646987,LAM,412,2,11.5,0.0,0.0,SHIPPED,39,false,CASH
1229,2018-11-09 20:40:47.646987,LAM,163,2,4.99,0.0,0.56,SHIPPED,52,false,CASH
1230,2018-11-10 01:10:47.646987,PXC,177,6,42.42,0.0,0.45,SHIPPED,37,false,CASH
1231,2018-11-10 05:40:47.646987,PXC,412,3,11.5,0.0,0.37,SHIPPED,60,false,CASH
1232,2018-11-10 06:44:47.646987,HRE,158,1,4.99,0.0,0.69,SHIPPED,48,false,CASH
1233,2018-11-10 12:49:47.646987,QRT,412,6,8.49,0.0,0.58,SHIPPED,41,false,CASH
1234,2018-11-10 20:44:47.646987,BGT,412,1,4.99,0.0,0.8,SHIPPED,42,false,CASH
1235,2018-11-11 01:08:47.646987,QRT,182,5,28.99,0.0,0.1,SHIPPED,55,true,CASH
1236,2018-11-11 06:41:47.646987,PXC,158,4,11.5,0.0,0.77,SHIPPED,49,false,CASH
1237,2018-11-11 12:12:47.646987,QRT,191,3,99.99,0.0,0.28,SHIPPED,52,false,CASH
1238,2018-11-11 15:48:47.646987,LAM,412,5,28.99,0.0,0.06,SHIPPED,42,false,CASH
1239,2018-11-11 23:04:47.646987,QWE,182,5,99.99,0.0,-0.02,SHIPPED,48,false,CASH
1240,2018-11-12 04:51:47.646987,QRT,163,4,28.99,0.0,0.1,SHIPPED,49,false,CASH
1241,2018-11-12 09:45:47.646987,HRE,163,2,28.99,0.0,0.55,SHIPPED,66,false,CASH
1242,2018-11-12 14:04:47.646987,HRE,412,5,1.75,0.0,0.24,SHIPPED,49,false,CASH
1243,2018-11-12 21:47:47.646987,HRE,158,5,4.99,0.0,0.58,SHIPPED,47,false,CASH
1244,2018-11-12 23:56:47.646987,HRE,191,4,99.99,0.0,0.27,SHIPPED,49,false,CASH
1245,2018-11-13 02:59:47.646987,LAM,177,6,11.5,0.0,0.28,SHIPPED,47,false,CASH
1246,2018-11-13 03:52:47.646987,DAS,163,2,42.42,0.0,0.11,SHIPPED,47,false,CASH
1247,2018-11-13 11:13:47.646987,QRT,191,5,4.99,0.0,0.45,SHIPPED,45,false,CASH
1248,2018-11-13 19:05:47.646987,LAM,191,1,99.99,0.0,0.37,SHIPPED,51,false,CASH
1249,2018-11-13 22:16:47.646987,HRE,177,4,42.42,0.0,0.5,SHIPPED,36,false,CASH
1250,2018-11-14 02:58:47.646987,HRE,158,2,1.75,0.2,0.61,SHIPPED,52,false,CASH
1251,2018-11-14 10:49:47.646987,PXC,163,5,28.99,0.0,0.58,SHIPPED,49,false,CASH
1252,2018-11-14 16:52:47.646987,DAS,163,2,99.99,0.0,0.69,SHIPPED,49,false,CASH
1253,2018-11-15 00:49:47.646987,QWE,412,2,99.99,0.0,0.39,SHIPPED,48,false,CASH
1254,2018-11-15 01:19:47.646987,HRE,158,2,99.99,0.1,-0.05,SHIPPED,49,false,CASH
1255,2018-11-15 03:51:47.646987,BGT,412,7,1.75,0.0,0.72,SHIPPED,45,false,CASH
1256,2018-11-15 10:31:47.646987,QWE,191,3,99.99,0.0,0.29,SHIPPED,41,false,CASH
1257,2018-11-15 12:03:47.646987,PXC,191,1,8.49,0.0,-0.06,SHIPPED,30,false,CASH
1258,2018-11-15 17:41:47.646987,LAM,158,2,42.42,0.0,0.61,SHIPPED,60,false,CASH
1259,2018-11-15 19:20:47.646987,DAS,412,2,42.42,0.0,0.78,SHIPPED,30,false,CASH
1260,2018-11-16 02:55:47.646987,PXC,177,7,1.75,0.0,0.49,SHIPPED,29,false,CASH
1261,2018-11-16 08:35:47.646987,HRE,163,2,1.75,0.0,0.14,SHIPPED,45,false,CASH
1262,2018-11-16 16:18:47.646987,PXC,182,4,8.49,0.0,0.29,SHIPPED,44,false,CASH
1263,2018-11-16 19:43:47.646987,QWE,177,2,4.99,0.0,0.14,SHIPPED,47,false,CASH
1264,2018-11-17 02:09:47.646987,QWE,158,2,4.99,0.0,0.73,SHIPPED,41,false,CASH
1265,2018-11-17 05:34:47.646987,DAS,191,3,11.5,0.0,0.56,SHIPPED,46,false,CREDIT
1266,2018-11-17 11:51:47.646987,QWE,163,1,11.5,0.0,0.33,SHIPPED,58,false,CASH
1267,2018-11-17 17:47:47.646987,LAM,412,3,1.75,0.0,0.5,SHIPPED,43,false,CASH
1268,2018-11-17 20:03:47.646987,LAM,191,4,4.99,0.0,-0.08,SHIPPED,39,false,CASH
1269,2018-11-18 03:30:47.646987,HRE,182,1,42.42,0.1,0.12,SHIPPED,46,false,CASH
1270,2018-11-18 04:06:47.646987,DAS,412,1,4.99,0.0,0.41,SHIPPED,39,false,CASH
1271,2018-11-18 06:49:47.646987,HRE,163,2,42.42,0.0,0.01,SHIPPED,51,false,CASH
1272,2018-11-18 11:21:47.646987,DAS,412,4,1.75,0.0,0.63,SHIPPED,41,false,CASH
1273,2018-11-18 17:07:47.646987,BGT,191,7,11.5,0.0,0.79,SHIPPED,59,false,CREDIT
1274,2018-11-18 20:10:47.646987,DAS,158,4,11.5,0.0,0.66,SHIPPED,51,false,CASH
1275,2018-11-19 03:03:47.646987,QWE,191,5,8.49,0.0,0.62,SHIPPED,51,false,CASH
1276,2018-11-19 06:09:47.646987,LAM,177,3,28.99,0.0,0.08,SHIPPED,36,false,CASH
1277,2018-11-19 11:14:47.646987,QRT,177,4,99.99,0.0,0.59,SHIPPED,44,false,CASH
1278,2018-11-19 11:40:47.646987,DAS,177,4,1.75,0.0,0.51,SHIPPED,50,false,CASH
1279,2018-11-19 19:27:47.646987,DAS,412,1,42.42,0.0,0.11,SHIPPED,45,false,CASH
1280,2018-11-20 03:20:47.646987,PXC,163,6,1.75,0.0,0.09,SHIPPED,45,false,CASH
1281,2018-11-20 07:58:47.646987,QRT,158,6,42.42,0.0,0.64,SHIPPED,49,false,CASH
1282,2018-11-20 10:22:47.646987,PXC,158,6,1.75,0.0,0.37,SHIPPED,47,false,CASH
1283,2018-11-20 16:05:47.646987,QWE,191,5,99.99,0.0,0.58,SHIPPED,53,false,CASH
1284,2018-11-20 20:10:47.646987,LAM,163,2,4.99,0.0,0.49,SHIPPED,28,false,CASH
1285,2018-11-21 00:29:47.646987,QWE,191,5,99.99,0.0,0.78,SHIPPED,48,false,CASH
1286,2018-11-21 08:02:47.646987,BGT,182,7,4.99,0.0,0.18,SHIPPED,45,false,CASH
1287,2018-11-21 14:39:47.646987,BGT,158,6,8.49,0.0,0.65,SHIPPED,47,false,CASH
1288,2018-11-21 20:22:47.646987,PXC,182,6,99.99,0.1,0.8,SHIPPED,48,false,CASH
1289,2018-11-21 22:46:47.646987,QRT,158,5,28.99,0.0,-0.09,SHIPPED,44,false,CASH
1290,2018-11-22 00:36:47.646987,QRT,177,2,99.99,0.0,-0.1,SHIPPED,41,false,CASH
1291,2018-11-22 06:06:47.646987,LAM,412,4,28.99,0.0,0.13,SHIPPED,47,false,CASH
1292,2018-11-22 06:47:47.646987,PXC,163,1,99.99,0.0,-0.01,SHIPPED,54,false,CASH
1293,2018-11-22 07:08:47.646987,DAS,191,1,99.99,0.0,0.37,SHIPPED,51,false,CASH
1294,2018-11-22 14:51:47.646987,BGT,158,5,28.99,0.0,0.56,SHIPPED,42,false,CASH
1295,2018-11-22 18:23:47.646987,LAM,158,1,42.42,0.0,0.03,SHIPPED,48,false,CASH
1296,2018-11-23 01:56:47.646987,PXC,163,1,99.99,0.0,0.15,SHIPPED,48,false,CASH
